"COUNTRY","INDEX_TYPE","COICOP_1999","TYPE_OF_TRANSFORMATION","FREQUENCY","TIME_PERIOD","OBS_VALUE","SCALE"
"China, People's Republic of","Consumer price index (CPI)","All Items","Standard reference period (2010=100), Index","Quarterly","1997-Q1","82.70614469232095","Units"
"China, People's Republic of","Consumer price index (CPI)","All Items","Standard reference period (2010=100), Index","Quarterly","1997-Q2","82.80674054606427","Units"
"China, People's Republic of","Consumer price index (CPI)","All Items","Standard reference period (2010=100), Index","Quarterly","1997-Q3","82.01981792159014","Units"
"China, People's Republic of","Consumer price index (CPI)","All Items","Standard reference period (2010=100), Index","Quarterly","1997-Q4","82.36316077453932","Units"
"China, People's Republic of","Consumer price index (CPI)","All Items","Standard reference period (2010=100), Index","Quarterly","1998-Q1","82.95338265415887","Units"
"China, People's Republic of","Consumer price index (CPI)","All Items","Standard reference period (2010=100), Index","Quarterly","1998-Q2","82.09086571957631","Units"
"China, People's Republic of","Consumer price index (CPI)","All Items","Standard reference period (2010=100), Index","Quarterly","1998-Q3","80.84379248334205","Units"
"China, People's Republic of","Consumer price index (CPI)","All Items","Standard reference period (2010=100), Index","Quarterly","1998-Q4","81.45711440481602","Units"
"China, People's Republic of","Consumer price index (CPI)","All Items","Standard reference period (2010=100), Index","Quarterly","1999-Q1","81.76406379559834","Units"
"China, People's Republic of","Consumer price index (CPI)","All Items","Standard reference period (2010=100), Index","Quarterly","1999-Q2","80.31188047629838","Units"
"China, People's Republic of","Consumer price index (CPI)","All Items","Standard reference period (2010=100), Index","Quarterly","1999-Q3","79.90281830338606","Units"
"China, People's Republic of","Consumer price index (CPI)","All Items","Standard reference period (2010=100), Index","Quarterly","1999-Q4","80.77873975726151","Units"
"China, People's Republic of","Consumer price index (CPI)","All Items","Standard reference period (2010=100), Index","Quarterly","2000-Q1","81.8465590616067","Units"
"China, People's Republic of","Consumer price index (CPI)","All Items","Standard reference period (2010=100), Index","Quarterly","2000-Q2","80.38972667727942","Units"
"China, People's Republic of","Consumer price index (CPI)","All Items","Standard reference period (2010=100), Index","Quarterly","2000-Q3","80.11376962899986","Units"
"China, People's Republic of","Consumer price index (CPI)","All Items","Standard reference period (2010=100), Index","Quarterly","2000-Q4","81.53003379331868","Units"
"China, People's Republic of","Consumer price index (CPI)","All Items","Standard reference period (2010=100), Index","Quarterly","2001-Q1","82.38980743769213","Units"
"China, People's Republic of","Consumer price index (CPI)","All Items","Standard reference period (2010=100), Index","Quarterly","2001-Q2","81.64961902664043","Units"
"China, People's Republic of","Consumer price index (CPI)","All Items","Standard reference period (2010=100), Index","Quarterly","2001-Q3","80.74876012469574","Units"
"China, People's Republic of","Consumer price index (CPI)","All Items","Standard reference period (2010=100), Index","Quarterly","2001-Q4","81.42100723617567","Units"
"China, People's Republic of","Consumer price index (CPI)","All Items","Standard reference period (2010=100), Index","Quarterly","2002-Q1","81.90626621751338","Units"
"China, People's Republic of","Consumer price index (CPI)","All Items","Standard reference period (2010=100), Index","Quarterly","2002-Q2","80.84018603951573","Units"
"China, People's Republic of","Consumer price index (CPI)","All Items","Standard reference period (2010=100), Index","Quarterly","2002-Q3","80.13694231249533","Units"
"China, People's Republic of","Consumer price index (CPI)","All Items","Standard reference period (2010=100), Index","Quarterly","2002-Q4","80.93804287608764","Units"
"China, People's Republic of","Consumer price index (CPI)","All Items","Standard reference period (2010=100), Index","Quarterly","2003-Q1","82.29091652599466","Units"
"China, People's Republic of","Consumer price index (CPI)","All Items","Standard reference period (2010=100), Index","Quarterly","2003-Q2","81.33285446824071","Units"
"China, People's Republic of","Consumer price index (CPI)","All Items","Standard reference period (2010=100), Index","Quarterly","2003-Q3","80.78357256291029","Units"
"China, People's Republic of","Consumer price index (CPI)","All Items","Standard reference period (2010=100), Index","Quarterly","2003-Q4","83.06551570971627","Units"
"China, People's Republic of","Consumer price index (CPI)","All Items","Standard reference period (2010=100), Index","Quarterly","2004-Q1","84.5647409011537","Units"
"China, People's Republic of","Consumer price index (CPI)","All Items","Standard reference period (2010=100), Index","Quarterly","2004-Q2","84.84547520559183","Units"
"China, People's Republic of","Consumer price index (CPI)","All Items","Standard reference period (2010=100), Index","Quarterly","2004-Q3","84.95578794708522","Units"
"China, People's Republic of","Consumer price index (CPI)","All Items","Standard reference period (2010=100), Index","Quarterly","2004-Q4","85.63150476518479","Units"
"China, People's Republic of","Consumer price index (CPI)","All Items","Standard reference period (2010=100), Index","Quarterly","2005-Q1","86.88675232255619","Units"
"China, People's Republic of","Consumer price index (CPI)","All Items","Standard reference period (2010=100), Index","Quarterly","2005-Q2","86.27081530200437","Units"
"China, People's Republic of","Consumer price index (CPI)","All Items","Standard reference period (2010=100), Index","Quarterly","2005-Q3","86.06685893912006","Units"
"China, People's Republic of","Consumer price index (CPI)","All Items","Standard reference period (2010=100), Index","Quarterly","2005-Q4","86.81284586234276","Units"
"China, People's Republic of","Consumer price index (CPI)","All Items","Standard reference period (2010=100), Index","Quarterly","2006-Q1","88.11541303930272","Units"
