"COUNTRY","INDEX_TYPE","COICOP_1999","TYPE_OF_TRANSFORMATION","FREQUENCY","TIME_PERIOD","OBS_VALUE","SCALE"
"Norway","Consumer price index (CPI)","All Items","Standard reference period (2010=100), Index","Quarterly","1997-Q1","75.50447923264867","Units"
"Norway","Consumer price index (CPI)","All Items","Standard reference period (2010=100), Index","Quarterly","1997-Q2","75.83024160709437","Units"
"Norway","Consumer price index (CPI)","All Items","Standard reference period (2010=100), Index","Quarterly","1997-Q3","75.97502488462583","Units"
"Norway","Consumer price index (CPI)","All Items","Standard reference period (2010=100), Index","Quarterly","1997-Q4","76.40937471722018","Units"
"Norway","Consumer price index (CPI)","All Items","Standard reference period (2010=100), Index","Quarterly","1998-Q1","77.13329110487739","Units"
"Norway","Consumer price index (CPI)","All Items","Standard reference period (2010=100), Index","Quarterly","1998-Q2","77.53144511808888","Units"
"Norway","Consumer price index (CPI)","All Items","Standard reference period (2010=100), Index","Quarterly","1998-Q3","77.7124242150032","Units"
"Norway","Consumer price index (CPI)","All Items","Standard reference period (2010=100), Index","Quarterly","1998-Q4","78.18296986698041","Units"
"Norway","Consumer price index (CPI)","All Items","Standard reference period (2010=100), Index","Quarterly","1999-Q1","78.8706904352547","Units"
"Norway","Consumer price index (CPI)","All Items","Standard reference period (2010=100), Index","Quarterly","1999-Q2","79.44982354538051","Units"
"Norway","Consumer price index (CPI)","All Items","Standard reference period (2010=100), Index","Quarterly","1999-Q3","79.30504026784906","Units"
"Norway","Consumer price index (CPI)","All Items","Standard reference period (2010=100), Index","Quarterly","1999-Q4","80.28232739118631","Units"
"Norway","Consumer price index (CPI)","All Items","Standard reference period (2010=100), Index","Quarterly","2000-Q1","81.15102705637502","Units"
"Norway","Consumer price index (CPI)","All Items","Standard reference period (2010=100), Index","Quarterly","2000-Q2","81.76635598588368","Units"
"Norway","Consumer price index (CPI)","All Items","Standard reference period (2010=100), Index","Quarterly","2000-Q3","82.01972672156368","Units"
"Norway","Consumer price index (CPI)","All Items","Standard reference period (2010=100), Index","Quarterly","2000-Q4","82.77983892860374","Units"
"Norway","Consumer price index (CPI)","All Items","Standard reference period (2010=100), Index","Quarterly","2001-Q1","84.01049678762103","Units"
"Norway","Consumer price index (CPI)","All Items","Standard reference period (2010=100), Index","Quarterly","2001-Q2","84.98778391095833","Units"
"Norway","Consumer price index (CPI)","All Items","Standard reference period (2010=100), Index","Quarterly","2001-Q3","84.11908424576962","Units"
"Norway","Consumer price index (CPI)","All Items","Standard reference period (2010=100), Index","Quarterly","2001-Q4","84.44484662021538","Units"
"Norway","Consumer price index (CPI)","All Items","Standard reference period (2010=100), Index","Quarterly","2002-Q1","84.87919645280974","Units"
"Norway","Consumer price index (CPI)","All Items","Standard reference period (2010=100), Index","Quarterly","2002-Q2","85.38593792416977","Units"
"Norway","Consumer price index (CPI)","All Items","Standard reference period (2010=100), Index","Quarterly","2002-Q3","85.31354628540405","Units"
"Norway","Consumer price index (CPI)","All Items","Standard reference period (2010=100), Index","Quarterly","2002-Q4","86.32702922812415","Units"
"Norway","Consumer price index (CPI)","All Items","Standard reference period (2010=100), Index","Quarterly","2003-Q1","88.78834494615873","Units"
"Norway","Consumer price index (CPI)","All Items","Standard reference period (2010=100), Index","Quarterly","2003-Q2","87.3043163514614","Units"
"Norway","Consumer price index (CPI)","All Items","Standard reference period (2010=100), Index","Quarterly","2003-Q3","86.94235815763281","Units"
"Norway","Consumer price index (CPI)","All Items","Standard reference period (2010=100), Index","Quarterly","2003-Q4","87.37670799022712","Units"
"Norway","Consumer price index (CPI)","All Items","Standard reference period (2010=100), Index","Quarterly","2004-Q1","87.52149126775857","Units"
"Norway","Consumer price index (CPI)","All Items","Standard reference period (2010=100), Index","Quarterly","2004-Q2","88.02823273911865","Units"
"Norway","Consumer price index (CPI)","All Items","Standard reference period (2010=100), Index","Quarterly","2004-Q3","87.99203691973579","Units"
"Norway","Consumer price index (CPI)","All Items","Standard reference period (2010=100), Index","Quarterly","2004-Q4","88.46258257171301","Units"
"Norway","Consumer price index (CPI)","All Items","Standard reference period (2010=100), Index","Quarterly","2005-Q1","88.39019093294728","Units"
"Norway","Consumer price index (CPI)","All Items","Standard reference period (2010=100), Index","Quarterly","2005-Q2","89.36747805628447","Units"
"Norway","Consumer price index (CPI)","All Items","Standard reference period (2010=100), Index","Quarterly","2005-Q3","89.54845715319879","Units"
"Norway","Consumer price index (CPI)","All Items","Standard reference period (2010=100), Index","Quarterly","2005-Q4","90.09139444394173","Units"
"Norway","Consumer price index (CPI)","All Items","Standard reference period (2010=100), Index","Quarterly","2006-Q1","90.38096099900463","Units"
"Norway","Consumer price index (CPI)","All Items","Standard reference period (2010=100), Index","Quarterly","2006-Q2","91.50303139987334","Units"
"Norway","Consumer price index (CPI)","All Items","Standard reference period (2010=100), Index","Quarterly","2006-Q3","91.5392272192562","Units"
"Norway","Consumer price index (CPI)","All Items","Standard reference period (2010=100), Index","Quarterly","2006-Q4","92.29933942629627","Units"
"Norway","Consumer price index (CPI)","All Items","Standard reference period (2010=100), Index","Quarterly","2007-Q1","91.28585648357616","Units"
"Norway","Consumer price index (CPI)","All Items","Standard reference period (2010=100), Index","Quarterly","2007-Q2","91.79259795493624","Units"
"Norway","Consumer price index (CPI)","All Items","Standard reference period (2010=100), Index","Quarterly","2007-Q3","91.68401049678765","Units"
"Norway","Consumer price index (CPI)","All Items","Standard reference period (2010=100), Index","Quarterly","2007-Q4","93.56619310469641","Units"
"Norway","Consumer price index (CPI)","All Items","Standard reference period (2010=100), Index","Quarterly","2008-Q1","94.5072844086508","Units"
"Norway","Consumer price index (CPI)","All Items","Standard reference period (2010=100), Index","Quarterly","2008-Q2","94.76065514433084","Units"
"Norway","Consumer price index (CPI)","All Items","Standard reference period (2010=100), Index","Quarterly","2008-Q3","95.99131300334813","Units"
"Norway","Consumer price index (CPI)","All Items","Standard reference period (2010=100), Index","Quarterly","2008-Q4","96.89620848791964","Units"
"Norway","Consumer price index (CPI)","All Items","Standard reference period (2010=100), Index","Quarterly","2009-Q1","96.82381684915392","Units"
"Norway","Consumer price index (CPI)","All Items","Standard reference period (2010=100), Index","Quarterly","2009-Q2","97.72871233372544","Units"
"Norway","Consumer price index (CPI)","All Items","Standard reference period (2010=100), Index","Quarterly","2009-Q3","97.72871233372544","Units"
"Norway","Consumer price index (CPI)","All Items","Standard reference period (2010=100), Index","Quarterly","2009-Q4","98.27164962446838","Units"
"Norway","Consumer price index (CPI)","All Items","Standard reference period (2010=100), Index","Quarterly","2010-Q1","99.68328658039993","Units"
"Norway","Consumer price index (CPI)","All Items","Standard reference period (2010=100), Index","Quarterly","2010-Q2","100.2624196905257","Units"
"Norway","Consumer price index (CPI)","All Items","Standard reference period (2010=100), Index","Quarterly","2010-Q3","99.53850330286858","Units"
