"COUNTRY","INDEX_TYPE","COICOP_1999","TYPE_OF_TRANSFORMATION","FREQUENCY","TIME_PERIOD","OBS_VALUE","SCALE"
"Switzerland","Consumer price index (CPI)","All Items","Standard reference period (2010=100), Index","Quarterly","1997-Q1","89.66321472972221","Units"
"Switzerland","Consumer price index (CPI)","All Items","Standard reference period (2010=100), Index","Quarterly","1997-Q2","89.55962381869298","Units"
"Switzerland","Consumer price index (CPI)","All Items","Standard reference period (2010=100), Index","Quarterly","1997-Q3","89.55988624025353","Units"
"Switzerland","Consumer price index (CPI)","All Items","Standard reference period (2010=100), Index","Quarterly","1997-Q4","89.62798463521769","Units"
"Switzerland","Consumer price index (CPI)","All Items","Standard reference period (2010=100), Index","Quarterly","1998-Q1","89.66659340731437","Units"
"Switzerland","Consumer price index (CPI)","All Items","Standard reference period (2010=100), Index","Quarterly","1998-Q2","89.60754855618943","Units"
"Switzerland","Consumer price index (CPI)","All Items","Standard reference period (2010=100), Index","Quarterly","1998-Q3","89.64241782104818","Units"
"Switzerland","Consumer price index (CPI)","All Items","Standard reference period (2010=100), Index","Quarterly","1998-Q4","89.55844292167047","Units"
"Switzerland","Consumer price index (CPI)","All Items","Standard reference period (2010=100), Index","Quarterly","1999-Q1","89.91408974161319","Units"
"Switzerland","Consumer price index (CPI)","All Items","Standard reference period (2010=100), Index","Quarterly","1999-Q2","90.12835694580671","Units"
"Switzerland","Consumer price index (CPI)","All Items","Standard reference period (2010=100), Index","Quarterly","1999-Q3","90.5086057870515","Units"
"Switzerland","Consumer price index (CPI)","All Items","Standard reference period (2010=100), Index","Quarterly","1999-Q4","90.81485174821968","Units"
"Switzerland","Consumer price index (CPI)","All Items","Standard reference period (2010=100), Index","Quarterly","2000-Q1","91.32030847654448","Units"
"Switzerland","Consumer price index (CPI)","All Items","Standard reference period (2010=100), Index","Quarterly","2000-Q2","91.57702236815781","Units"
"Switzerland","Consumer price index (CPI)","All Items","Standard reference period (2010=100), Index","Quarterly","2000-Q3","91.85158092588893","Units"
"Switzerland","Consumer price index (CPI)","All Items","Standard reference period (2010=100), Index","Quarterly","2000-Q4","92.24898557665502","Units"
"Switzerland","Consumer price index (CPI)","All Items","Standard reference period (2010=100), Index","Quarterly","2001-Q1","92.24875595778953","Units"
"Switzerland","Consumer price index (CPI)","All Items","Standard reference period (2010=100), Index","Quarterly","2001-Q2","92.9545715475984","Units"
"Switzerland","Consumer price index (CPI)","All Items","Standard reference period (2010=100), Index","Quarterly","2001-Q3","92.7935103148075","Units"
"Switzerland","Consumer price index (CPI)","All Items","Standard reference period (2010=100), Index","Quarterly","2001-Q4","92.63074334187302","Units"
"Switzerland","Consumer price index (CPI)","All Items","Standard reference period (2010=100), Index","Quarterly","2002-Q1","92.76697293449636","Units"
"Switzerland","Consumer price index (CPI)","All Items","Standard reference period (2010=100), Index","Quarterly","2002-Q2","93.5954049984747","Units"
"Switzerland","Consumer price index (CPI)","All Items","Standard reference period (2010=100), Index","Quarterly","2002-Q3","93.07685999481721","Units"
"Switzerland","Consumer price index (CPI)","All Items","Standard reference period (2010=100), Index","Quarterly","2002-Q4","93.57040934483182","Units"
"Switzerland","Consumer price index (CPI)","All Items","Standard reference period (2010=100), Index","Quarterly","2003-Q1","93.73632537649297","Units"
"Switzerland","Consumer price index (CPI)","All Items","Standard reference period (2010=100), Index","Quarterly","2003-Q2","94.10515887985358","Units"
"Switzerland","Consumer price index (CPI)","All Items","Standard reference period (2010=100), Index","Quarterly","2003-Q3","93.49204370631094","Units"
"Switzerland","Consumer price index (CPI)","All Items","Standard reference period (2010=100), Index","Quarterly","2003-Q4","94.05693891810154","Units"
"Switzerland","Consumer price index (CPI)","All Items","Standard reference period (2010=100), Index","Quarterly","2004-Q1","93.78802242392236","Units"
"Switzerland","Consumer price index (CPI)","All Items","Standard reference period (2010=100), Index","Quarterly","2004-Q2","94.91991221998804","Units"
"Switzerland","Consumer price index (CPI)","All Items","Standard reference period (2010=100), Index","Quarterly","2004-Q3","94.34107586279291","Units"
"Switzerland","Consumer price index (CPI)","All Items","Standard reference period (2010=100), Index","Quarterly","2004-Q4","95.35549920781496","Units"
"Switzerland","Consumer price index (CPI)","All Items","Standard reference period (2010=100), Index","Quarterly","2005-Q1","95.05617461530646","Units"
"Switzerland","Consumer price index (CPI)","All Items","Standard reference period (2010=100), Index","Quarterly","2005-Q2","95.92518361308569","Units"
"Switzerland","Consumer price index (CPI)","All Items","Standard reference period (2010=100), Index","Quarterly","2005-Q3","95.4563018897633","Units"
"Switzerland","Consumer price index (CPI)","All Items","Standard reference period (2010=100), Index","Quarterly","2005-Q4","96.40157715357898","Units"
"Switzerland","Consumer price index (CPI)","All Items","Standard reference period (2010=100), Index","Quarterly","2006-Q1","96.22939580715955","Units"
"Switzerland","Consumer price index (CPI)","All Items","Standard reference period (2010=100), Index","Quarterly","2006-Q2","97.19855143298579","Units"
"Switzerland","Consumer price index (CPI)","All Items","Standard reference period (2010=100), Index","Quarterly","2006-Q3","96.62358579380888","Units"
"Switzerland","Consumer price index (CPI)","All Items","Standard reference period (2010=100), Index","Quarterly","2006-Q4","96.8439214965902","Units"
"Switzerland","Consumer price index (CPI)","All Items","Standard reference period (2010=100), Index","Quarterly","2007-Q1","96.31386274696333","Units"
"Switzerland","Consumer price index (CPI)","All Items","Standard reference period (2010=100), Index","Quarterly","2007-Q2","97.70814130088933","Units"
"Switzerland","Consumer price index (CPI)","All Items","Standard reference period (2010=100), Index","Quarterly","2007-Q3","97.23650415118111","Units"
"Switzerland","Consumer price index (CPI)","All Items","Standard reference period (2010=100), Index","Quarterly","2007-Q4","98.4703775262176","Units"
"Switzerland","Consumer price index (CPI)","All Items","Standard reference period (2010=100), Index","Quarterly","2008-Q1","98.6966505168065","Units"
"Switzerland","Consumer price index (CPI)","All Items","Standard reference period (2010=100), Index","Quarterly","2008-Q2","100.3307495743851","Units"
"Switzerland","Consumer price index (CPI)","All Items","Standard reference period (2010=100), Index","Quarterly","2008-Q3","100.1287833808426","Units"
"Switzerland","Consumer price index (CPI)","All Items","Standard reference period (2010=100), Index","Quarterly","2008-Q4","100.0276854746386","Units"
"Switzerland","Consumer price index (CPI)","All Items","Standard reference period (2010=100), Index","Quarterly","2009-Q1","98.68047878813728","Units"
"Switzerland","Consumer price index (CPI)","All Items","Standard reference period (2010=100), Index","Quarterly","2009-Q2","99.57838696027269","Units"
"Switzerland","Consumer price index (CPI)","All Items","Standard reference period (2010=100), Index","Quarterly","2009-Q3","99.15729876366645","Units"
"Switzerland","Consumer price index (CPI)","All Items","Standard reference period (2010=100), Index","Quarterly","2009-Q4","99.84969805119192","Units"
"Switzerland","Consumer price index (CPI)","All Items","Standard reference period (2010=100), Index","Quarterly","2010-Q1","99.78422387183334","Units"
"Switzerland","Consumer price index (CPI)","All Items","Standard reference period (2010=100), Index","Quarterly","2010-Q2","100.5623037988802","Units"
"Switzerland","Consumer price index (CPI)","All Items","Standard reference period (2010=100), Index","Quarterly","2010-Q3","99.48614578173745","Units"
"Switzerland","Consumer price index (CPI)","All Items","Standard reference period (2010=100), Index","Quarterly","2010-Q4","100.1673265475492","Units"
"Switzerland","Consumer price index (CPI)","All Items","Standard reference period (2010=100), Index","Quarterly","2011-Q1","100.3809048951462","Units"
"Switzerland","Consumer price index (CPI)","All Items","Standard reference period (2010=100), Index","Quarterly","2011-Q2","100.9616438086554","Units"
"Switzerland","Consumer price index (CPI)","All Items","Standard reference period (2010=100), Index","Quarterly","2011-Q3","99.86754271730969","Units"
