"COUNTRY","INDEX_TYPE","COICOP_1999","TYPE_OF_TRANSFORMATION","FREQUENCY","TIME_PERIOD","OBS_VALUE","SCALE"
"United Kingdom","Consumer price index (CPI)","All Items","Standard reference period (2010=100), Index","Quarterly","1997-Q1","76.90031440724986","Units"
"United Kingdom","Consumer price index (CPI)","All Items","Standard reference period (2010=100), Index","Quarterly","1997-Q2","77.60310708341039","Units"
"United Kingdom","Consumer price index (CPI)","All Items","Standard reference period (2010=100), Index","Quarterly","1997-Q3","77.97299796560015","Units"
"United Kingdom","Consumer price index (CPI)","All Items","Standard reference period (2010=100), Index","Quarterly","1997-Q4","78.37987793600887","Units"
"United Kingdom","Consumer price index (CPI)","All Items","Standard reference period (2010=100), Index","Quarterly","1998-Q1","78.3428888477899","Units"
"United Kingdom","Consumer price index (CPI)","All Items","Standard reference period (2010=100), Index","Quarterly","1998-Q2","79.19363787682634","Units"
"United Kingdom","Consumer price index (CPI)","All Items","Standard reference period (2010=100), Index","Quarterly","1998-Q3","79.26761605326428","Units"
"United Kingdom","Consumer price index (CPI)","All Items","Standard reference period (2010=100), Index","Quarterly","1998-Q4","79.71148511189198","Units"
"United Kingdom","Consumer price index (CPI)","All Items","Standard reference period (2010=100), Index","Quarterly","1999-Q1","79.89643055298686","Units"
"United Kingdom","Consumer price index (CPI)","All Items","Standard reference period (2010=100), Index","Quarterly","1999-Q2","80.67320140558535","Units"
"United Kingdom","Consumer price index (CPI)","All Items","Standard reference period (2010=100), Index","Quarterly","1999-Q3","80.56223414092842","Units"
"United Kingdom","Consumer price index (CPI)","All Items","Standard reference period (2010=100), Index","Quarterly","1999-Q4","80.93212502311817","Units"
"United Kingdom","Consumer price index (CPI)","All Items","Standard reference period (2010=100), Index","Quarterly","2000-Q1","80.78416867024227","Units"
"United Kingdom","Consumer price index (CPI)","All Items","Standard reference period (2010=100), Index","Quarterly","2000-Q2","81.52395043462179","Units"
"United Kingdom","Consumer price index (CPI)","All Items","Standard reference period (2010=100), Index","Quarterly","2000-Q3","81.52395043462179","Units"
"United Kingdom","Consumer price index (CPI)","All Items","Standard reference period (2010=100), Index","Quarterly","2000-Q4","82.04179766968743","Units"
"United Kingdom","Consumer price index (CPI)","All Items","Standard reference period (2010=100), Index","Quarterly","2001-Q1","81.78287405215461","Units"
"United Kingdom","Consumer price index (CPI)","All Items","Standard reference period (2010=100), Index","Quarterly","2001-Q2","82.96652487516183","Units"
"United Kingdom","Consumer price index (CPI)","All Items","Standard reference period (2010=100), Index","Quarterly","2001-Q3","82.96652487516183","Units"
"United Kingdom","Consumer price index (CPI)","All Items","Standard reference period (2010=100), Index","Quarterly","2001-Q4","83.1514703162567","Units"
"United Kingdom","Consumer price index (CPI)","All Items","Standard reference period (2010=100), Index","Quarterly","2002-Q1","83.22544849269465","Units"
"United Kingdom","Consumer price index (CPI)","All Items","Standard reference period (2010=100), Index","Quarterly","2002-Q2","84.03920843351211","Units"
"United Kingdom","Consumer price index (CPI)","All Items","Standard reference period (2010=100), Index","Quarterly","2002-Q3","84.11318660995006","Units"
"United Kingdom","Consumer price index (CPI)","All Items","Standard reference period (2010=100), Index","Quarterly","2002-Q4","84.52006658035879","Units"
"United Kingdom","Consumer price index (CPI)","All Items","Standard reference period (2010=100), Index","Quarterly","2003-Q1","84.48307749213981","Units"
"United Kingdom","Consumer price index (CPI)","All Items","Standard reference period (2010=100), Index","Quarterly","2003-Q2","85.18587016830035","Units"
"United Kingdom","Consumer price index (CPI)","All Items","Standard reference period (2010=100), Index","Quarterly","2003-Q3","85.22285925651932","Units"
"United Kingdom","Consumer price index (CPI)","All Items","Standard reference period (2010=100), Index","Quarterly","2003-Q4","85.62973922692805","Units"
"United Kingdom","Consumer price index (CPI)","All Items","Standard reference period (2010=100), Index","Quarterly","2004-Q1","85.62973922692805","Units"
"United Kingdom","Consumer price index (CPI)","All Items","Standard reference period (2010=100), Index","Quarterly","2004-Q2","86.33253190308858","Units"
"United Kingdom","Consumer price index (CPI)","All Items","Standard reference period (2010=100), Index","Quarterly","2004-Q3","86.36952099130756","Units"
"United Kingdom","Consumer price index (CPI)","All Items","Standard reference period (2010=100), Index","Quarterly","2004-Q4","86.92435731459219","Units"
"United Kingdom","Consumer price index (CPI)","All Items","Standard reference period (2010=100), Index","Quarterly","2005-Q1","87.14629184390604","Units"
"United Kingdom","Consumer price index (CPI)","All Items","Standard reference period (2010=100), Index","Quarterly","2005-Q2","87.99704087294248","Units"
"United Kingdom","Consumer price index (CPI)","All Items","Standard reference period (2010=100), Index","Quarterly","2005-Q3","88.44090993157018","Units"
"United Kingdom","Consumer price index (CPI)","All Items","Standard reference period (2010=100), Index","Quarterly","2005-Q4","88.88477899019789","Units"
"United Kingdom","Consumer price index (CPI)","All Items","Standard reference period (2010=100), Index","Quarterly","2006-Q1","88.99574625485481","Units"
"United Kingdom","Consumer price index (CPI)","All Items","Standard reference period (2010=100), Index","Quarterly","2006-Q2","90.14240798964305","Units"
"United Kingdom","Consumer price index (CPI)","All Items","Standard reference period (2010=100), Index","Quarterly","2006-Q3","90.69724431292768","Units"
"United Kingdom","Consumer price index (CPI)","All Items","Standard reference period (2010=100), Index","Quarterly","2006-Q4","91.28906972443129","Units"
"United Kingdom","Consumer price index (CPI)","All Items","Standard reference period (2010=100), Index","Quarterly","2007-Q1","91.47401516552616","Units"
"United Kingdom","Consumer price index (CPI)","All Items","Standard reference period (2010=100), Index","Quarterly","2007-Q2","92.43573145921952","Units"
"United Kingdom","Consumer price index (CPI)","All Items","Standard reference period (2010=100), Index","Quarterly","2007-Q3","92.4727205474385","Units"
