"COUNTRY","INDEX_TYPE","COICOP_1999","TYPE_OF_TRANSFORMATION","FREQUENCY","TIME_PERIOD","OBS_VALUE","SCALE"
"United States","Consumer price index (CPI)","All Items","Standard reference period (2010=100), Index","Quarterly","1997-Q1","73.17708870753853","Units"
"United States","Consumer price index (CPI)","All Items","Standard reference period (2010=100), Index","Quarterly","1997-Q2","73.4675346414101","Units"
"United States","Consumer price index (CPI)","All Items","Standard reference period (2010=100), Index","Quarterly","1997-Q3","73.75798057528167","Units"
"United States","Consumer price index (CPI)","All Items","Standard reference period (2010=100), Index","Quarterly","1997-Q4","74.04842650915323","Units"
"United States","Consumer price index (CPI)","All Items","Standard reference period (2010=100), Index","Quarterly","1998-Q1","74.2471526744338","Units"
"United States","Consumer price index (CPI)","All Items","Standard reference period (2010=100), Index","Quarterly","1998-Q2","74.6446050049949","Units"
"United States","Consumer price index (CPI)","All Items","Standard reference period (2010=100), Index","Quarterly","1998-Q3","74.93505093886647","Units"
"United States","Consumer price index (CPI)","All Items","Standard reference period (2010=100), Index","Quarterly","1998-Q4","75.19492361654103","Units"
"United States","Consumer price index (CPI)","All Items","Standard reference period (2010=100), Index","Quarterly","1999-Q1","75.48536955041263","Units"
"United States","Consumer price index (CPI)","All Items","Standard reference period (2010=100), Index","Quarterly","1999-Q2","76.2191276991408","Units"
"United States","Consumer price index (CPI)","All Items","Standard reference period (2010=100), Index","Quarterly","1999-Q3","76.69301317019443","Units"
"United States","Consumer price index (CPI)","All Items","Standard reference period (2010=100), Index","Quarterly","1999-Q4","77.16689864124807","Units"
"United States","Consumer price index (CPI)","All Items","Standard reference period (2010=100), Index","Quarterly","2000-Q1","77.93123004617327","Units"
"United States","Consumer price index (CPI)","All Items","Standard reference period (2010=100), Index","Quarterly","2000-Q2","78.75670796349247","Units"
"United States","Consumer price index (CPI)","All Items","Standard reference period (2010=100), Index","Quarterly","2000-Q3","79.38345971553113","Units"
"United States","Consumer price index (CPI)","All Items","Standard reference period (2010=100), Index","Quarterly","2000-Q4","79.81148530228923","Units"
"United States","Consumer price index (CPI)","All Items","Standard reference period (2010=100), Index","Quarterly","2001-Q1","80.57581670721443","Units"
"United States","Consumer price index (CPI)","All Items","Standard reference period (2010=100), Index","Quarterly","2001-Q2","81.41658125263217","Units"
"United States","Consumer price index (CPI)","All Items","Standard reference period (2010=100), Index","Quarterly","2001-Q3","81.52358764932167","Units"
"United States","Consumer price index (CPI)","All Items","Standard reference period (2010=100), Index","Quarterly","2001-Q4","81.29428822784413","Units"
"United States","Consumer price index (CPI)","All Items","Standard reference period (2010=100), Index","Quarterly","2002-Q1","81.5847341617157","Units"
"United States","Consumer price index (CPI)","All Items","Standard reference period (2010=100), Index","Quarterly","2002-Q2","82.47135859142893","Units"
"United States","Consumer price index (CPI)","All Items","Standard reference period (2010=100), Index","Quarterly","2002-Q3","82.82295103769453","Units"
"United States","Consumer price index (CPI)","All Items","Standard reference period (2010=100), Index","Quarterly","2002-Q4","83.0828237153691","Units"
"United States","Consumer price index (CPI)","All Items","Standard reference period (2010=100), Index","Quarterly","2003-Q1","83.92358826078683","Units"
"United States","Consumer price index (CPI)","All Items","Standard reference period (2010=100), Index","Quarterly","2003-Q2","84.2293208227569","Units"
"United States","Consumer price index (CPI)","All Items","Standard reference period (2010=100), Index","Quarterly","2003-Q3","84.6420597814165","Units"
"United States","Consumer price index (CPI)","All Items","Standard reference period (2010=100), Index","Quarterly","2003-Q4","84.657346409515","Units"
"United States","Consumer price index (CPI)","All Items","Standard reference period (2010=100), Index","Quarterly","2004-Q1","85.4216778144402","Units"
"United States","Consumer price index (CPI)","All Items","Standard reference period (2010=100), Index","Quarterly","2004-Q2","86.6446080623205","Units"
"United States","Consumer price index (CPI)","All Items","Standard reference period (2010=100), Index","Quarterly","2004-Q3","86.9503406242906","Units"
"United States","Consumer price index (CPI)","All Items","Standard reference period (2010=100), Index","Quarterly","2004-Q4","87.47008597963973","Units"
"United States","Consumer price index (CPI)","All Items","Standard reference period (2010=100), Index","Quarterly","2005-Q1","88.02040459118587","Units"
"United States","Consumer price index (CPI)","All Items","Standard reference period (2010=100), Index","Quarterly","2005-Q2","89.1974749547707","Units"
"United States","Consumer price index (CPI)","All Items","Standard reference period (2010=100), Index","Quarterly","2005-Q3","90.28282554976447","Units"
"United States","Consumer price index (CPI)","All Items","Standard reference period (2010=100), Index","Quarterly","2005-Q4","90.7414243927196","Units"
"United States","Consumer price index (CPI)","All Items","Standard reference period (2010=100), Index","Quarterly","2006-Q1","91.2305964918717","Units"
"United States","Consumer price index (CPI)","All Items","Standard reference period (2010=100), Index","Quarterly","2006-Q2","92.77454592982063","Units"
"United States","Consumer price index (CPI)","All Items","Standard reference period (2010=100), Index","Quarterly","2006-Q3","93.29429128516977","Units"
"United States","Consumer price index (CPI)","All Items","Standard reference period (2010=100), Index","Quarterly","2006-Q4","92.49938662404753","Units"
"United States","Consumer price index (CPI)","All Items","Standard reference period (2010=100), Index","Quarterly","2007-Q1","93.44211297888227","Units"
"United States","Consumer price index (CPI)","All Items","Standard reference period (2010=100), Index","Quarterly","2007-Q2","95.23370579202693","Units"
"United States","Consumer price index (CPI)","All Items","Standard reference period (2010=100), Index","Quarterly","2007-Q3","95.49648292904023","Units"
"United States","Consumer price index (CPI)","All Items","Standard reference period (2010=100), Index","Quarterly","2007-Q4","96.17566781545677","Units"
"United States","Consumer price index (CPI)","All Items","Standard reference period (2010=100), Index","Quarterly","2008-Q1","97.26896745706177","Units"
"United States","Consumer price index (CPI)","All Items","Standard reference period (2010=100), Index","Quarterly","2008-Q2","99.4043565361418","Units"
"United States","Consumer price index (CPI)","All Items","Standard reference period (2010=100), Index","Quarterly","2008-Q3","100.5604842192316","Units"
"United States","Consumer price index (CPI)","All Items","Standard reference period (2010=100), Index","Quarterly","2008-Q4","97.716101328943","Units"
"United States","Consumer price index (CPI)","All Items","Standard reference period (2010=100), Index","Quarterly","2009-Q1","97.2298336891296","Units"
"United States","Consumer price index (CPI)","All Items","Standard reference period (2010=100), Index","Quarterly","2009-Q2","98.2607638880927","Units"
"United States","Consumer price index (CPI)","All Items","Standard reference period (2010=100), Index","Quarterly","2009-Q3","98.9280252045924","Units"
"United States","Consumer price index (CPI)","All Items","Standard reference period (2010=100), Index","Quarterly","2009-Q4","99.1270571024349","Units"
"United States","Consumer price index (CPI)","All Items","Standard reference period (2010=100), Index","Quarterly","2010-Q1","99.524968031839","Units"
"United States","Consumer price index (CPI)","All Items","Standard reference period (2010=100), Index","Quarterly","2010-Q2","99.99778343892573","Units"
"United States","Consumer price index (CPI)","All Items","Standard reference period (2010=100), Index","Quarterly","2010-Q3","100.0910318703266","Units"
"United States","Consumer price index (CPI)","All Items","Standard reference period (2010=100), Index","Quarterly","2010-Q4","100.3862166589087","Units"
"United States","Consumer price index (CPI)","All Items","Standard reference period (2010=100), Index","Quarterly","2011-Q1","101.6559239887704","Units"
"United States","Consumer price index (CPI)","All Items","Standard reference period (2010=100), Index","Quarterly","2011-Q2","103.42810278423","Units"
"United States","Consumer price index (CPI)","All Items","Standard reference period (2010=100), Index","Quarterly","2011-Q3","103.8506251848726","Units"
"United States","Consumer price index (CPI)","All Items","Standard reference period (2010=100), Index","Quarterly","2011-Q4","103.6927143166151","Units"
"United States","Consumer price index (CPI)","All Items","Standard reference period (2010=100), Index","Quarterly","2012-Q1","104.5177336350914","Units"
"United States","Consumer price index (CPI)","All Items","Standard reference period (2010=100), Index","Quarterly","2012-Q2","105.3826510529047","Units"
"United States","Consumer price index (CPI)","All Items","Standard reference period (2010=100), Index","Quarterly","2012-Q3","105.6137848697541","Units"
"United States","Consumer price index (CPI)","All Items","Standard reference period (2010=100), Index","Quarterly","2012-Q4","105.6518485737194","Units"
"United States","Consumer price index (CPI)","All Items","Standard reference period (2010=100), Index","Quarterly","2013-Q1","106.2755430001383","Units"
"United States","Consumer price index (CPI)","All Items","Standard reference period (2010=100), Index","Quarterly","2013-Q2","106.8504730829231","Units"
"United States","Consumer price index (CPI)","All Items","Standard reference period (2010=100), Index","Quarterly","2013-Q3","107.2543457972855","Units"
"United States","Consumer price index (CPI)","All Items","Standard reference period (2010=100), Index","Quarterly","2013-Q4","106.9550336191169","Units"
"United States","Consumer price index (CPI)","All Items","Standard reference period (2010=100), Index","Quarterly","2014-Q1","107.7691994316432","Units"
"United States","Consumer price index (CPI)","All Items","Standard reference period (2010=100), Index","Quarterly","2014-Q2","109.0418112208436","Units"
"United States","Consumer price index (CPI)","All Items","Standard reference period (2010=100), Index","Quarterly","2014-Q3","109.1668558386894","Units"
"United States","Consumer price index (CPI)","All Items","Standard reference period (2010=100), Index","Quarterly","2014-Q4","108.2898619846782","Units"
"United States","Consumer price index (CPI)","All Items","Standard reference period (2010=100), Index","Quarterly","2015-Q1","107.7016325354478","Units"
"United States","Consumer price index (CPI)","All Items","Standard reference period (2010=100), Index","Quarterly","2015-Q2","109.0000787261347","Units"
"United States","Consumer price index (CPI)","All Items","Standard reference period (2010=100), Index","Quarterly","2015-Q3","109.2863972704197","Units"
"United States","Consumer price index (CPI)","All Items","Standard reference period (2010=100), Index","Quarterly","2015-Q4","108.7947793107718","Units"
"United States","Consumer price index (CPI)","All Items","Standard reference period (2010=100), Index","Quarterly","2016-Q1","108.8650978000249","Units"
"United States","Consumer price index (CPI)","All Items","Standard reference period (2010=100), Index","Quarterly","2016-Q2","110.141378379969","Units"
"United States","Consumer price index (CPI)","All Items","Standard reference period (2010=100), Index","Quarterly","2016-Q3","110.5077988554901","Units"
"United States","Consumer price index (CPI)","All Items","Standard reference period (2010=100), Index","Quarterly","2016-Q4","110.7537607015951","Units"
"United States","Consumer price index (CPI)","All Items","Standard reference period (2010=100), Index","Quarterly","2017-Q1","111.6295316253584","Units"
"United States","Consumer price index (CPI)","All Items","Standard reference period (2010=100), Index","Quarterly","2017-Q2","112.236257894588","Units"
"United States","Consumer price index (CPI)","All Items","Standard reference period (2010=100), Index","Quarterly","2017-Q3","112.6814045048164","Units"
"United States","Consumer price index (CPI)","All Items","Standard reference period (2010=100), Index","Quarterly","2017-Q4","113.0990351844676","Units"
"United States","Consumer price index (CPI)","All Items","Standard reference period (2010=100), Index","Quarterly","2018-Q1","114.1012265226055","Units"
"United States","Consumer price index (CPI)","All Items","Standard reference period (2010=100), Index","Quarterly","2018-Q2","115.2799784152811","Units"
"United States","Consumer price index (CPI)","All Items","Standard reference period (2010=100), Index","Quarterly","2018-Q3","115.6572523967522","Units"
"United States","Consumer price index (CPI)","All Items","Standard reference period (2010=100), Index","Quarterly","2018-Q4","115.5907555645237","Units"
"United States","Consumer price index (CPI)","All Items","Standard reference period (2010=100), Index","Quarterly","2019-Q1","115.9781187205398","Units"
"United States","Consumer price index (CPI)","All Items","Standard reference period (2010=100), Index","Quarterly","2019-Q2","117.3681318135368","Units"
"United States","Consumer price index (CPI)","All Items","Standard reference period (2010=100), Index","Quarterly","2019-Q3","117.6899153350103","Units"
"United States","Consumer price index (CPI)","All Items","Standard reference period (2010=100), Index","Quarterly","2019-Q4","117.9406160358257","Units"
"United States","Consumer price index (CPI)","All Items","Standard reference period (2010=100), Index","Quarterly","2020-Q1","118.4352913210933","Units"
"United States","Consumer price index (CPI)","All Items","Standard reference period (2010=100), Index","Quarterly","2020-Q2","117.7956988014519","Units"
"United States","Consumer price index (CPI)","All Items","Standard reference period (2010=100), Index","Quarterly","2020-Q3","119.1285399053605","Units"
"United States","Consumer price index (CPI)","All Items","Standard reference period (2010=100), Index","Quarterly","2020-Q4","119.4024762808857","Units"
"United States","Consumer price index (CPI)","All Items","Standard reference period (2010=100), Index","Quarterly","2021-Q1","120.6838014481023","Units"
"United States","Consumer price index (CPI)","All Items","Standard reference period (2010=100), Index","Quarterly","2021-Q2","123.5075473904579","Units"
"United States","Consumer price index (CPI)","All Items","Standard reference period (2010=100), Index","Quarterly","2021-Q3","125.4848727349994","Units"
"United States","Consumer price index (CPI)","All Items","Standard reference period (2010=100), Index","Quarterly","2021-Q4","127.389433729792","Units"
"United States","Consumer price index (CPI)","All Items","Standard reference period (2010=100), Index","Quarterly","2022-Q1","130.2983261906564","Units"
"United States","Consumer price index (CPI)","All Items","Standard reference period (2010=100), Index","Quarterly","2022-Q2","134.1731806810651","Units"
"United States","Consumer price index (CPI)","All Items","Standard reference period (2010=100), Index","Quarterly","2022-Q3","135.9371046973515","Units"
"United States","Consumer price index (CPI)","All Items","Standard reference period (2010=100), Index","Quarterly","2022-Q4","136.4362131047677","Units"
"United States","Consumer price index (CPI)","All Items","Standard reference period (2010=100), Index","Quarterly","2023-Q1","137.8618440412342","Units"
"United States","Consumer price index (CPI)","All Items","Standard reference period (2010=100), Index","Quarterly","2023-Q2","139.5056151606663","Units"
"United States","Consumer price index (CPI)","All Items","Standard reference period (2010=100), Index","Quarterly","2023-Q3","140.714328844415","Units"
"United States","Consumer price index (CPI)","All Items","Standard reference period (2010=100), Index","Quarterly","2023-Q4","140.8613862067226","Units"
"United States","Consumer price index (CPI)","All Items","Standard reference period (2010=100), Index","Quarterly","2024-Q1","142.3299725681459","Units"
"United States","Consumer price index (CPI)","All Items","Standard reference period (2010=100), Index","Quarterly","2024-Q2","143.9682405014625","Units"
"United States","Consumer price index (CPI)","All Items","Standard reference period (2010=100), Index","Quarterly","2024-Q3","144.403145070865","Units"
"United States","Consumer price index (CPI)","All Items","Standard reference period (2010=100), Index","Quarterly","2024-Q4","144.7279859179582","Units"
