"COUNTRY","INDEX_TYPE","COICOP_1999","TYPE_OF_TRANSFORMATION","FREQUENCY","TIME_PERIOD","OBS_VALUE","SCALE"
"Euro Area (EA)","Harmonised index of consumer prices (HICP)","All Items","Standard reference period (2010=100), Index","Quarterly","1997-Q1","77.9012544514236","Units"
"Euro Area (EA)","Harmonised index of consumer prices (HICP)","All Items","Standard reference period (2010=100), Index","Quarterly","1997-Q2","78.10525939049055","Units"
"Euro Area (EA)","Harmonised index of consumer prices (HICP)","All Items","Standard reference period (2010=100), Index","Quarterly","1997-Q3","78.37726597591315","Units"
"Euro Area (EA)","Harmonised index of consumer prices (HICP)","All Items","Standard reference period (2010=100), Index","Quarterly","1997-Q4","78.57053381292394","Units"
"Euro Area (EA)","Harmonised index of consumer prices (HICP)","All Items","Standard reference period (2010=100), Index","Quarterly","1998-Q1","78.76022261591601","Units"
"Euro Area (EA)","Harmonised index of consumer prices (HICP)","All Items","Standard reference period (2010=100), Index","Quarterly","1998-Q2","79.15749539199374","Units"
"Euro Area (EA)","Harmonised index of consumer prices (HICP)","All Items","Standard reference period (2010=100), Index","Quarterly","1998-Q3","79.26486641255529","Units"
"Euro Area (EA)","Harmonised index of consumer prices (HICP)","All Items","Standard reference period (2010=100), Index","Quarterly","1998-Q4","79.22191800433067","Units"
"Euro Area (EA)","Harmonised index of consumer prices (HICP)","All Items","Standard reference period (2010=100), Index","Quarterly","1999-Q1","79.40086970526659","Units"
"Euro Area (EA)","Harmonised index of consumer prices (HICP)","All Items","Standard reference period (2010=100), Index","Quarterly","1999-Q2","79.91982963798075","Units"
"Euro Area (EA)","Harmonised index of consumer prices (HICP)","All Items","Standard reference period (2010=100), Index","Quarterly","1999-Q3","80.15604588321616","Units"
"Euro Area (EA)","Harmonised index of consumer prices (HICP)","All Items","Standard reference period (2010=100), Index","Quarterly","1999-Q4","80.41015729854517","Units"
"Euro Area (EA)","Harmonised index of consumer prices (HICP)","All Items","Standard reference period (2010=100), Index","Quarterly","2000-Q1","80.9219591632219","Units"
"Euro Area (EA)","Harmonised index of consumer prices (HICP)","All Items","Standard reference period (2010=100), Index","Quarterly","2000-Q2","81.4122868237863","Units"
"Euro Area (EA)","Harmonised index of consumer prices (HICP)","All Items","Standard reference period (2010=100), Index","Quarterly","2000-Q3","81.90261448435072","Units"
"Euro Area (EA)","Harmonised index of consumer prices (HICP)","All Items","Standard reference period (2010=100), Index","Quarterly","2000-Q4","82.37504697482154","Units"
"Euro Area (EA)","Harmonised index of consumer prices (HICP)","All Items","Standard reference period (2010=100), Index","Quarterly","2001-Q1","82.58978901594464","Units"
"Euro Area (EA)","Harmonised index of consumer prices (HICP)","All Items","Standard reference period (2010=100), Index","Quarterly","2001-Q2","83.76371217408426","Units"
"Euro Area (EA)","Harmonised index of consumer prices (HICP)","All Items","Standard reference period (2010=100), Index","Quarterly","2001-Q3","83.81381865034632","Units"
"Euro Area (EA)","Harmonised index of consumer prices (HICP)","All Items","Standard reference period (2010=100), Index","Quarterly","2001-Q4","84.09656233782507","Units"
"Euro Area (EA)","Harmonised index of consumer prices (HICP)","All Items","Standard reference period (2010=100), Index","Quarterly","2002-Q1","84.67994488287616","Units"
"Euro Area (EA)","Harmonised index of consumer prices (HICP)","All Items","Standard reference period (2010=100), Index","Quarterly","2002-Q2","85.51743884325626","Units"
"Euro Area (EA)","Harmonised index of consumer prices (HICP)","All Items","Standard reference period (2010=100), Index","Quarterly","2002-Q3","85.56396628549959","Units"
"Euro Area (EA)","Harmonised index of consumer prices (HICP)","All Items","Standard reference period (2010=100), Index","Quarterly","2002-Q4","86.02566167391426","Units"
"Euro Area (EA)","Harmonised index of consumer prices (HICP)","All Items","Standard reference period (2010=100), Index","Quarterly","2003-Q1","86.61262325298407","Units"
"Euro Area (EA)","Harmonised index of consumer prices (HICP)","All Items","Standard reference period (2010=100), Index","Quarterly","2003-Q2","87.18884772999772","Units"
"Euro Area (EA)","Harmonised index of consumer prices (HICP)","All Items","Standard reference period (2010=100), Index","Quarterly","2003-Q3","87.299797784578","Units"
"Euro Area (EA)","Harmonised index of consumer prices (HICP)","All Items","Standard reference period (2010=100), Index","Quarterly","2003-Q4","87.79728351317984","Units"
"Euro Area (EA)","Harmonised index of consumer prices (HICP)","All Items","Standard reference period (2010=100), Index","Quarterly","2004-Q1","88.09792237075219","Units"
"Euro Area (EA)","Harmonised index of consumer prices (HICP)","All Items","Standard reference period (2010=100), Index","Quarterly","2004-Q2","89.18952774646129","Units"
