Date,GDP_mp,GVA_bp,indir_net_tax,C,C_np,G,I_gcf,I_inven,I_acq,dom_DEM,EX,IM,CPI_index,China_CPI_imf,NORW_CPI_imf,SWISS_CPI_imf,UK_CPI_imf,USA_CPI_imf,EURO_CPI_imf,Foreign_CPI_imf,BOE_rate,gilt_5y,GBP_EER,IM_defl,Unemp_rate,dummy_2020Q2,dummy_2020Q3,post_covid,energy_cpi,w_sale_elec_ppkWh,dual_price_cap_GBPpm,I_total,dlog_GDP_mp,dlog_GVA_bp,dlog_indir_net_tax,dlog_C,dlog_C_np,dlog_I_total,dlog_G,dlog_EX,dlog_IM,dlog_CPI_index,dlog_Foreign_CPI_imf,dlog_UK_CPI_imf,dlog_IM_defl,dlog_energy_cpi,d_BOE_rate,d_gilt_5y,d_Unemp_rate,dlog_w_sale,dlog_cap,d_mkt_spr,real_BOE_r,dlog_NX,Y_GAP,U_GAP,r_star,R_GAP,lead_Y_gap,lead_pi,lag_U_gap,lag_BOE,lag_Y_gap,lead_R_gap,lag_R_gap,wealth_eff,q_infl,annual_infl_pct,Infl_dev,reer_comp,log_reer,rer_gap,zlb_dummy,zlb_interaction,lag_rer_gap
1997 Q2,434199,389540,44648,253090,10160,81353,67734,-972,642,419703,107243,95102,70,82.80674054606428,75.830241607094365,89.55962381869298,77.60310708341039,73.4675346414101,78.105259390490545,77.3130008240329,6.1984,7.1653,94.8728,63.9,7.2,0,0,0,50.70603337612323,NA,NA,67404,0.01107215083261437,0.009608575837107836,0.02464725884373742,0.014975857992206798,-0.010963304797270368,0.0441166619211959,-0.0172921292755035,0.013036501421414215,0.04672032190384634,0.8608374536600572,0.0028137521510167574,0.009097501098230154,-1.5528262326555797,-0.7566240383316103,0.26090000000000035,0.06420000000000048,-0.09999999999999964,0,0,-0.19669999999999987,2.7550501853597718,-3.3683820482432125,-0.2551952745124216,0.35730529960217505,0.9342294644962967,1.820820720863475,-0.17183313931911298,0.4276556767259798,0.34000114418549765,5.9375,-0.5510040689792579,4.2397542016493,NA,0.014975857992206798,0.008608374536600101,3.4433498146400408,1.4433498146400408,95.22879695822587,4.556282385113723,-2.7535958884306257,0,-0,-5.525086969883649
1997 Q3,438100,392511,45607,256735,10263,82427,71812,3796,613,423329,106487,94265,70.3,82.01981792159015,75.97502488462582,89.55988624025353,77.97299796560014,73.75798057528166,78.37726597591315,77.441519066244,6.8692,7.0218,97.1647,63.3,6.8,0,0,0,49.807445442875476,NA,NA,76221,0.008944240464447972,0.007598006505711297,0.021251700024873088,0.014299267816468841,0.010086752513242203,0.12293265193738634,0.013115342472200808,-0.007074375641652253,-0.008840034965876598,0.4276556767259798,0.0016609307676107576,0.00475512070500983,-0.9434032233357925,-1.7880425277848389,0.6707999999999998,-0.1435000000000004,-0.40000000000000036,0,0,-0.8143000000000002,5.158577293096081,0.17656593242243446,-0.17183313931911298,0.07439695430373622,0.9188230914467806,4.2397542016493,0.47723768523899684,0.42583456825768806,0.35730529960217505,6.1984,-0.2551952745124216,4.541536892560254,1.820820720863475,0.014299267816468841,0.004276556767260172,1.7106227069040687,-0.2893772930959313,97.8315385180835,4.583247004790363,-0.3649491050043696,0,-0,-2.7535958884306257
1997 Q4,444540,397889,46707,258701,10337,84058,73702,3235,590,428766,109939,96721,70.6,82.36316077453932,76.40937471722017,89.62798463521769,78.37987793600887,74.04842650915323,78.57053381292394,77.69416283936091,7.1484,6.6891,98.3758,63.1,6.5,0,0,0,48.78048780487805,NA,NA,77527,0.014592844836768037,0.013608509606315877,0.023832832864641773,0.007628530153830582,0.007184496922770123,0.016989247507700256,0.01959398361849729,0.03190275454951852,0.025720580517784697,0.42583456825768806,0.0032570714017747804,0.0052046486070462805,-0.3164559602963024,-2.083408690284161,0.27919999999999945,-0.3327,-0.2999999999999998,0,0,-0.6118999999999994,5.445061726969247,0.6182174031733823,0.47723768523899684,-0.10915970823718625,0.903524834408993,4.541536892560254,0.37949643798028626,-0.14174346809729954,0.07439695430373622,6.8692,-0.17183313931911298,6.928546312397662,4.2397542016493,0.007628530153830582,0.004258345682577025,1.7033382730308098,-0.29666172696919024,99.24404761011061,4.597581944067149,0.7693569945790802,0,-0,-0.3649491050043696
1998 Q1,447712,401139,46614,260797,10445,84775,74393,3707,844,433443,110586,98730,70.5,82.95338265415887,77.13329110487739,89.66659340731437,78.3428888477899,74.2471526744338,78.760222615916,77.94604360347131,7.25,6.2538,100.4944,62.5,6.4,0,0,0,48.26700898587933,NA,NA,78944,0.007110128894254331,0.008134928745764824,-0.001993121179308943,0.008069372253087792,0.010393703422181488,0.018112477563564156,0.008493651246924472,0.005867832276868157,0.020558306247027147,-0.14174346809729954,0.0032367084285604975,-4.72032106947573e-4,-0.9554212804811613,-1.0582109330537381,0.10160000000000036,-0.4352999999999998,-0.09999999999999964,0,0,-0.5369000000000002,7.816973872389198,-1.469047397015899,0.37949643798028626,-0.09384700264439931,0.8884275599915354,6.928546312397662,0.1471240869805468,1.1283617602027007,-0.10915970823718625,7.1484,0.47723768523899684,1.940481474605394,4.541536892560254,0.008069372253087792,-0.0014174346809733935,-0.5669738723893574,-2.566973872389357,101.00604527251097,4.615180369233347,2.244041309223438,0,-0,0.7693569945790802
1998 Q2,450292,403715,46587,263411,10482,85124,74474,2303,718,438911,110558,101343,71.3,82.09086571957631,77.53144511808888,89.60754855618943,79.19363787682634,74.6446050049949,79.15749539199373,78.16110278127726,7.3279,6.1066,100.3815,61.6,6.3,0,0,0,48.138639281129656,NA,NA,77495,0.005746092665013691,0.006401182813258188,-5.79392941176593e-4,0.00997322309768478,0.0035361053714453305,-0.01852532219793268,0.004108328958723817,-2.5322866683730183e-4,0.026121951301806945,1.1283617602027007,0.0027552782667452647,0.010800762428331723,-1.45046862028817,-0.26631174194835516,0.07789999999999964,-0.14719999999999978,-0.10000000000000053,0,0,-0.2250999999999994,2.8144529591891967,-2.6375179968644247,0.1471240869805468,-0.08007901872406145,0.8739714845838027,1.940481474605394,-0.49979272987909634,-0.14035090023201136,-0.09384700264439931,7.25,0.37949643798028626,7.200917660521961,6.928546312397662,0.00997322309768478,0.0112836176020273,4.51344704081092,2.51344704081092,101.70757419810725,4.62210177617225,2.6699748491134865,0,-0,2.244041309223438
1998 Q3,451005,404770,46198,267649,10328,85950,73749,2199,967,440551,110047,101736,71.2,80.84379248334206,77.7124242150032,89.64241782104818,79.26761605326428,74.93505093886647,79.26486641255529,78.15829857535151,7.5,5.8876,100.0379,61.2,6.2,0,0,0,47.753530166880616,NA,NA,76915,0.0015821646998368522,0.002609821082183217,-0.008385025147799041,0.01596087059319551,-0.014800846835633763,-0.007512502141299393,0.00965671485843167,-0.004632722866013239,0.0038704197932801776,-0.14035090023201136,-3.5877900013581154e-5,9.337068838934925e-4,-0.6514681021194235,-0.8032171697264001,0.17210000000000036,-0.2190000000000003,-0.09999999999999964,0,0,-0.39110000000000067,8.061403600928045,-0.8503142659293417,-0.49979272987909634,-0.0682111919056809,0.8604859404060838,7.200917660521961,-0.6550942294608646,0.5602255548669888,-0.08007901872406145,7.3279,0.1471240869805468,3.766484622239675,1.940481474605394,0.01596087059319551,-0.0014035090023200867,-0.5614036009280347,-2.5614036009280348,101.4577593488662,4.6196425478109715,2.1803148029977613,0,-0,2.6699748491134865
1998 Q4,453937,407891,45967,267397,10214,85893,75273,-3081,829,443936,109199,101476,71.6,81.45711440481602,78.18296986698041,89.55844292167048,79.71148511189197,75.19492361654103,79.221918004330675,78.3327285130281,6.8555,4.8697,97.063,61.6,6.1,0,0,0,47.88189987163029,NA,NA,73021,0.006479995976834019,0.007680977293677671,-0.005012759370892184,-9.419751521697606e-4,-0.01109932531888802,-0.05195384499588229,-6.633962639206459e-4,-0.0077356415049720795,-0.0025589053980397125,0.5602255548669888,0.0022292653215911784,0.0055840070642716455,0.6514681021194235,0.26845653706688566,-0.6444999999999999,-1.0179,-0.10000000000000053,0,0,-0.3734000000000002,4.614597780532045,-0.5176736106932367,-0.6550942294608646,-0.05854890823205963,0.8481131582923702,3.766484622239675,-0.7741424623170835,0,-0.0682111919056809,7.5,-0.49979272987909634,4.857843549342364,7.200917660521961,-9.419751521697606e-4,0.0056022555486697516,2.2409022194679005,0.24090221946790047,98.7714334261798,4.592808427583582,-0.722514323960267,0,-0,2.1803148029977613
1999 Q1,457044,410160,46852,270159,10146,85762,75322,1452,803,450080,109721,104891,71.6,81.76406379559835,78.8706904352547,89.9140897416132,79.89643055298686,75.48536955041263,79.40086970526659,78.5895199513935,5.6944,4.5427,97.152,61.2,6.2,0,0,0,47.88189987163029,NA,NA,77577,0.006821244454542352,0.005547345626780498,0.0190699494711577,0.010276229102682777,-0.006679789080955345,0.06052392049204691,-0.0015263176188504701,0.004768874376791743,0.033099398404973,0,0.003272852257700798,0.0023174981403624173,-0.6514681021194235,0,-1.1611000000000002,-0.32699999999999996,0.10000000000000053,0,0,0.8341000000000003,5.6944,-2.833052402818126,-0.7741424623170835,0.14864507824894138,0.8365564506576357,4.857843549342364,-1.2086274824411773,0.9729055198119063,-0.05854890823205963,6.8555,-0.6550942294608646,0.4837838618108997,3.766484622239675,0.010276229102682777,0,0,-2,98.76759682314545,4.5927695835836895,-0.9210082573950402,0,0,-0.722514323960267
1999 Q2,458710,411490,47204,275407,10538,88720,75306,312,516,452817,110244,106416,72.3,80.31188047629838,79.44982354538051,90.12835694580671,80.67320140558535,76.2191276991408,79.91982963798075,78.91593548829329,5.2008,5.0483,99.0586,60.7,6,0,0,0,47.753530166880616,NA,NA,76134,0.003638535759616701,0.003237391009824009,0.007484937555874538,0.01923932898572467,0.03790823264259657,-0.018776045861047308,0.033909325096026066,0.004755310940820934,0.01443422581668763,0.9729055198119063,0.004144821565631673,0.00967526552341802,-0.8203491452827727,-0.26845653706688566,-0.4935999999999998,0.5056000000000003,-0.20000000000000018,0,0,0.9992000000000001,1.3091779207523748,-0.9678914875866695,-1.2086274824411773,0.05314460655710604,0.8253940589414751,0.4837838618108997,-0.34318654691570466,-0.27700848738154704,0.14864507824894138,5.6944,-0.7741424623170835,5.359326244945956,4.857843549342364,0.01923932898572467,0.009729055198119159,3.8916220792476635,1.8916220792476635,101.26439405816572,4.6177348594198095,1.4066564000019683,0,0,-0.9210082573950402
1999 Q3,466387,418859,47493,278331,10548,89707,76109,-251,665,457545,116887,109856,72.1,79.90281830338606,79.30504026784907,90.5086057870515,80.56223414092842,76.69301317019443,80.15604588321617,79.15397851016652,5.0654,5.8413,98.6712,61,5.9,0,0,0,47.88189987163029,NA,NA,76523,0.016597559470776346,0.017749629289690816,0.0061036969962486864,0.010561049368103426,9.484967039465886e-4,0.005096403597194765,0.01106346088196375,0.05851156505771904,0.031814475733215275,-0.27700848738154704,0.0030118723519230173,-0.0013764627087224923,0.4930166107858902,0.26845653706688566,-0.13539999999999974,0.7930000000000001,-0.09999999999999964,0,0,0.9283999999999999,6.1734339495261885,2.6697089324503764,-0.34318654691570466,0.054630612538308226,0.8141077045802321,5.359326244945956,0.46483552605052153,0.5532517569725393,0.05314460655710604,5.2008,-1.2086274824411773,2.3899023259014576,0.4837838618108997,0.010561049368103426,-0.002770084873815601,-1.1080339495262403,-3.1080339495262406,100.42669322484386,4.609428040694135,0.43437287506805156,0,0,1.4066564000019683
